,IDR,USD,Euro,GBP,RMB,Oil,Silver,Nikkei 225,IHSG,Hang Seng,NASDAQ,USD/IDR,US Bond,Gold/Silver,Gold/Oil
IDR,1.0,0.9200009069810314,0.9656110131496154,0.9645007616467329,0.9168401976065971,0.3969188564673785,0.6844996675321208,0.5357933097381902,0.9697660967508863,0.8274646689544717,0.8217427740752001,0.7254343835274384,-0.8883989135608854,0.34152579691062795,0.0437003988974306
USD,0.9200009069810314,1.0,0.9711522445604204,0.969478153229687,0.9934086965427505,0.6208276529422642,0.900344420672123,0.24652796648752223,0.8558672290063465,0.7560164544684245,0.5692527447265237,0.4075508112848798,-0.8661093523344134,0.02143712687433391,-0.006225723395004146
Euro,0.9656110131496154,0.9711522445604204,1.0,0.99044425466457,0.9675053201290031,0.4535286748301422,0.8052655670795403,0.37224477577711707,0.9139995756889103,0.7580183822623775,0.6926376047881991,0.561765034560624,-0.9056457386959844,0.18449776529412273,0.04307744389134111
GBP,0.9645007616467329,0.969478153229687,0.99044425466457,1.0,0.971187309714617,0.45756048724750603,0.8000974127372845,0.35705013374203665,0.9100087497938023,0.7600655284455987,0.7000442972248618,0.5583166450228286,-0.8919928186215363,0.20423369678106126,0.038083722217418806
RMB,0.9168401976065971,0.9934086965427505,0.9675053201290031,0.971187309714617,1.0,0.6130216545854552,0.8930130239622783,0.2691798954708348,0.8529299293447178,0.7676424758415779,0.584516117342154,0.40509465943951706,-0.8464235677325926,0.02091312609810326,-0.013296249635863651
Oil,0.3969188564673785,0.6208276529422642,0.4535286748301422,0.45756048724750603,0.6130216545854552,1.0,0.7325528637076193,-0.0416349488792421,0.36931067978857235,0.5243373608687176,0.05660801415568184,-0.15056472669949028,-0.313213481564648,-0.4742206112622629,-0.25719818704914
Silver,0.6844996675321208,0.900344420672123,0.8052655670795403,0.8000974127372845,0.8930130239622783,0.7325528637076193,1.0,-0.03108749910131367,0.6064830460550416,0.5752434231856707,0.24885531482719006,0.04648335788042905,-0.6607498683222074,-0.37983626404636106,-0.04567227872927579
Nikkei 225,0.5357933097381902,0.24652796648752223,0.37224477577711707,0.35705013374203665,0.2691798954708348,-0.0416349488792421,-0.03108749910131367,1.0,0.6632280758743875,0.6936399265340428,0.8577192161361783,0.7940583871878087,-0.24638915157833147,0.47053049280033143,0.022208433928983983
IHSG,0.9697660967508863,0.8558672290063465,0.9139995756889103,0.9100087497938023,0.8529299293447178,0.36931067978857235,0.6064830460550416,0.6632280758743875,1.0,0.8860043644740254,0.8878217476346083,0.7556258902305041,-0.8235942592455875,0.3661970723984003,0.036106931963578025
Hang Seng,0.8274646689544717,0.7560164544684245,0.7580183822623775,0.7600655284455987,0.7676424758415779,0.5243373608687176,0.5752434231856707,0.6936399265340428,0.8860043644740254,1.0,0.7835677973648236,0.6026090038236465,-0.5898494091626142,0.16499945885863138,-0.0365891780925255
NASDAQ,0.8217427740752001,0.5692527447265237,0.6926376047881991,0.7000442972248618,0.584516117342154,0.05660801415568184,0.24885531482719006,0.8577192161361783,0.8878217476346083,0.7835677973648236,1.0,0.8928706627060657,-0.600757330331414,0.5989773236356337,0.0743398099495959
USD/IDR,0.7254343835274384,0.4075508112848798,0.561765034560624,0.5583166450228286,0.40509465943951706,-0.15056472669949028,0.04648335788042905,0.7940583871878087,0.7556258902305041,0.6026090038236465,0.8928706627060657,1.0,-0.554544057579859,0.7226419417588328,0.14252774120846942
US Bond,-0.8883989135608854,-0.8661093523344134,-0.9056457386959844,-0.8919928186215363,-0.8464235677325926,-0.313213481564648,-0.6607498683222074,-0.24638915157833147,-0.8235942592455875,-0.5898494091626142,-0.600757330331414,-0.554544057579859,1.0,-0.32508908696852534,-0.04173586136044418
Gold/Silver,0.34152579691062795,0.02143712687433391,0.18449776529412273,0.20423369678106126,0.02091312609810326,-0.4742206112622629,-0.37983626404636106,0.47053049280033143,0.3661970723984003,0.16499945885863138,0.5989773236356337,0.7226419417588328,-0.32508908696852534,1.0,0.12220761987956685
Gold/Oil,0.0437003988974306,-0.006225723395004146,0.04307744389134111,0.038083722217418806,-0.013296249635863651,-0.25719818704914,-0.04567227872927579,0.022208433928983983,0.036106931963578025,-0.0365891780925255,0.0743398099495959,0.14252774120846942,-0.04173586136044418,0.12220761987956685,1.0
